 Mã ICB , Tên ngành , Cấp , Level 1 , Level 2 , Level 3 , Level 4 
 0001 , Dầu khí , 1 , Dầu khí ,  ,  ,  
 0500 , Dầu khí , 2 , Dầu khí , Dầu khí ,  ,  
 0530 , Sản xuất dầu khí , 3 , Dầu khí , Dầu khí , Sản xuất dầu khí ,  
 0533 , Thăm dò và sản xuất dầu khí , 4 , Dầu khí , Dầu khí , Sản xuất dầu khí , Thăm dò và sản xuất dầu khí 
 0537 , Dầu khí tích hợp , 4 , Dầu khí , Dầu khí , Sản xuất dầu khí , Dầu khí tích hợp 
 0570 ," Thiết bị, dịch vụ và phân phối dầu khí ", 3 , Dầu khí , Dầu khí ," Thiết bị, dịch vụ và phân phối dầu khí ",  
 0573 ," Thiết bị, dịch vụ khai thác dầu mỏ ", 4 , Dầu khí , Dầu khí ," Thiết bị, dịch vụ và phân phối dầu khí "," Thiết bị, dịch vụ khai thác dầu mỏ "
 0577 , Ống dẫn dầu khí , 4 , Dầu khí , Dầu khí ," Thiết bị, dịch vụ và phân phối dầu khí ", Ống dẫn dầu khí 
 0580 , Năng lượng thay thế , 3 , Dầu khí , Dầu khí , Năng lượng thay thế ,  
 0583 , Thiết bị năng lượng tái tạo , 4 , Dầu khí , Dầu khí , Năng lượng thay thế , Thiết bị năng lượng tái tạo 
 0587 , Nhiên liệu thay thế , 4 , Dầu khí , Dầu khí , Năng lượng thay thế , Nhiên liệu thay thế 
 1000 , Vật liệu cơ bản , 1 , Vật liệu cơ bản ,  ,  ,  
 1300 , Hóa chất , 2 , Vật liệu cơ bản , Hóa chất ,  ,  
 1350 , Hóa chất , 3 , Vật liệu cơ bản , Hóa chất , Hóa chất ,  
 1353 ," Hóa chất cơ bản - Sản phẩm nhựa, cao su, hóa chất ", 4 , Vật liệu cơ bản , Hóa chất , Hóa chất ," Hóa chất cơ bản - Sản phẩm nhựa, cao su, hóa chất "
 1357 , Hóa chất chuyên dụng , 4 , Vật liệu cơ bản , Hóa chất , Hóa chất , Hóa chất chuyên dụng 
 1700 , Tài nguyên cơ bản , 2 , Vật liệu cơ bản , Tài nguyên cơ bản ,  ,  
 1730 , Lâm nghiệp và giấy , 3 , Vật liệu cơ bản , Tài nguyên cơ bản , Lâm nghiệp và giấy ,  
 1733 ," Trồng rừng, khai thác gỗ và kinh doanh lâm sản ", 4 , Vật liệu cơ bản , Tài nguyên cơ bản , Lâm nghiệp và giấy ," Trồng rừng, khai thác gỗ và kinh doanh lâm sản "
 1737 , Giấy , 4 , Vật liệu cơ bản , Tài nguyên cơ bản , Lâm nghiệp và giấy , Giấy 
 1750 , Kim loại công nghiệp , 3 , Vật liệu cơ bản , Tài nguyên cơ bản , Kim loại công nghiệp ,  
1753,Nhôm,4, Vật liệu cơ bản , Tài nguyên cơ bản , Kim loại công nghiệp , Nhôm 
1755,Kim loại màu,4, Vật liệu cơ bản , Tài nguyên cơ bản , Kim loại công nghiệp , Kim loại màu 
1757,Thép,4, Vật liệu cơ bản , Tài nguyên cơ bản , Kim loại công nghiệp , Thép 
1770,Khai khoáng,3, Vật liệu cơ bản , Tài nguyên cơ bản , Khai khoáng ,  
1771,Khai thác than,4, Vật liệu cơ bản , Tài nguyên cơ bản , Khai khoáng , Khai thác than 
1773,Kim cương và đá quý,4, Vật liệu cơ bản , Tài nguyên cơ bản , Khai khoáng , Kim cương và đá quý 
1775,Khai khoáng chung,4, Vật liệu cơ bản , Tài nguyên cơ bản , Khai khoáng , Khai khoáng chung 
1777,Khai thác vàng,4, Vật liệu cơ bản , Tài nguyên cơ bản , Khai khoáng , Khai thác vàng 
